DATA;ORA;OPEN;HIGH;LOW;CLOSE;N
28/11/2003;00:00;1.1906;1.2016;1.1901;1.1983;0
01/12/2003;00:00;1.1991;1.2041;1.1937;1.1973;0
02/12/2003;00:00;1.1975;1.2092;1.1944;1.2082;0
03/12/2003;00:00;1.2076;1.213;1.2066;1.2107;0
04/12/2003;00:00;1.2108;1.2158;1.203;1.208;0
05/12/2003;00:00;1.2082;1.2179;1.2063;1.2162;0
08/12/2003;00:00;1.2165;1.224;1.2153;1.2217;0
09/12/2003;00:00;1.2216;1.2276;1.2188;1.2257;0
10/12/2003;00:00;1.2249;1.2266;1.2154;1.2219;0
11/12/2003;00:00;1.2215;1.2235;1.2115;1.2219;0
12/12/2003;00:00;1.2222;1.2307;1.2211;1.2276;0
15/12/2003;00:00;1.2145;1.2323;1.2133;1.2308;0
16/12/2003;00:00;1.2318;1.2362;1.2304;1.2324;0
17/12/2003;00:00;1.2323;1.2422;1.2298;1.2409;0
18/12/2003;00:00;1.2408;1.2441;1.2361;1.2422;0
19/12/2003;00:00;1.2417;1.2435;1.2345;1.2369;0
22/12/2003;00:00;1.2372;1.2446;1.2352;1.2399;0
23/12/2003;00:00;1.2397;1.2427;1.2386;1.2395;0
24/12/2003;00:00;1.2393;1.247;1.2393;1.2445;0
25/12/2003;00:00;1.2447;1.2462;1.2438;1.2446;0
26/12/2003;00:00;1.2451;1.2469;1.2424;1.2424;0
29/12/2003;00:00;1.2426;1.251;1.2424;1.2484;0
30/12/2003;00:00;1.2484;1.2562;1.248;1.2545;0
31/12/2003;00:00;1.255;1.2647;1.2513;1.2591;0
01/01/2004;00:00;1.259;1.2604;1.2528;1.2541;0
02/01/2004;00:00;1.2542;1.263;1.2526;1.2582;0
05/01/2004;00:00;1.2582;1.2695;1.2582;1.2663;0
06/01/2004;00:00;1.2675;1.2811;1.2669;1.2731;0
07/01/2004;00:00;1.2725;1.2744;1.2631;1.2631;0
08/01/2004;00:00;1.263;1.2783;1.2562;1.2757;0
09/01/2004;00:00;1.2764;1.2868;1.2705;1.2821;0
12/01/2004;00:00;1.2815;1.2898;1.2737;1.275;0
13/01/2004;00:00;1.2745;1.2797;1.2714;1.2769;0
14/01/2004;00:00;1.2774;1.2789;1.263;1.2644;0
15/01/2004;00:00;1.2647;1.2672;1.2562;1.2576;0
16/01/2004;00:00;1.2578;1.2609;1.2353;1.2391;0
19/01/2004;00:00;1.239;1.2425;1.2335;1.2352;0
20/01/2004;00:00;1.2349;1.2596;1.2348;1.2578;0
21/01/2004;00:00;1.2576;1.2673;1.255;1.2632;0
22/01/2004;00:00;1.2642;1.275;1.2636;1.2712;0
23/01/2004;00:00;1.2714;1.2776;1.2565;1.2585;0
26/01/2004;00:00;1.258;1.2615;1.2462;1.2466;0
27/01/2004;00:00;1.2459;1.2652;1.244;1.2636;0
28/01/2004;00:00;1.2645;1.2663;1.2461;1.2477;0
29/01/2004;00:00;1.2412;1.253;1.2364;1.2412;0
30/01/2004;00:00;1.2407;1.2493;1.2351;1.2475;0
02/02/2004;00:00;1.2475;1.2488;1.2392;1.2423;0
03/02/2004;00:00;1.2422;1.2599;1.2418;1.2537;0
04/02/2004;00:00;1.2543;1.2563;1.2492;1.2535;0
05/02/2004;00:00;1.253;1.2637;1.2522;1.255;0
06/02/2004;00:00;1.2548;1.2724;1.2514;1.2701;0
09/02/2004;00:00;1.2622;1.2762;1.2584;1.2691;0
10/02/2004;00:00;1.2695;1.2788;1.2669;1.2671;0
11/02/2004;00:00;1.267;1.2841;1.265;1.2826;0
12/02/2004;00:00;1.2828;1.2846;1.2787;1.2805;0
13/02/2004;00:00;1.2811;1.2893;1.2717;1.274;0
